"","PE1","PE2","PE3","PE4","EE1","EE2","EE3","EE4","SI1","SI2","SI3","HM1","HM2","HM3","HA1","HA2","HA3","HA4","BI1","BI2","BI3"
10201623439,6,6,5,6,6,6,5,5,5,5,6,6,6,6,5,6,6,6,6,6,6
10201623767,7,7,7,7,7,7,7,7,7,7,3,7,7,7,7,7,7,7,7,7,7
10201624030,7,6,7,6,7,7,7,7,1,1,4,7,7,7,4,4,6,6,7,7,7
10201624822,6,6,5,6,6,7,6,7,7,7,6,6,7,7,7,7,6,6,6,6,6
10201628214,5,5,4,4,3,3,3,3,4,4,4,3,4,3,3,3,3,3,5,5,5
10201629776,6,5,5,5,6,6,6,5,5,5,4,5,5,4,4,3,4,4,5,4,5
10201631029,5,5,4,5,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,3,4
10201632277,4,4,4,1,4,3,2,4,3,2,2,3,4,4,4,3,2,2,4,4,4
10201633353,5,6,5,4,6,6,6,5,5,6,6,5,6,5,6,5,5,6,5,6,6
10201636722,4,6,4,5,3,4,5,4,3,5,4,5,3,4,4,5,4,4,5,6,5
10201639623,5,4,3,4,3,3,5,4,4,4,3,5,5,5,5,2,5,5,4,4,5
10201640406,7,7,7,5,7,7,7,7,5,4,4,4,4,4,4,3,2,4,6,4,6
10201640788,5,5,4,4,5,5,5,4,5,4,4,5,5,5,5,5,4,4,5,5,5
10201641149,7,6,6,5,7,7,7,6,5,5,5,5,5,5,6,5,6,6,7,6,7
10201642270,6,6,6,3,6,6,6,6,5,3,3,4,4,4,4,4,4,4,6,5,5
10201643721,7,6,6,6,6,7,6,6,7,7,6,6,6,6,6,6,7,6,6,6,6
10201646383,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,7,7,4,4,4
10201647137,7,6,5,6,6,6,5,6,4,4,4,4,4,5,4,5,5,5,5,4,5
10201647513,7,6,7,7,7,7,6,7,7,6,7,7,6,7,7,6,7,7,7,6,7
10201647965,5,5,5,6,4,4,4,4,4,5,5,4,4,4,4,4,4,5,5,5,6
10201648743,6,5,6,4,5,5,6,5,4,4,3,5,5,4,5,4,4,5,6,5,6
10201649079,7,7,7,7,5,5,5,5,7,5,5,1,1,1,1,1,1,4,7,7,7
10201655585,5,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,5,4,5
10201658604,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7
